filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
962929,10/20 05:28 PM,F3XN,190,11,0,0,201
962928,10/20 05:28 PM,F9N,0,0,0,3,3
962927,10/20 05:27 PM,F6N,3,0,0,0,3
962926,10/20 05:27 PM,F24N,0,0,1,0,1
962925,10/20 05:26 PM,F24N,0,0,1,0,1
962924,10/20 05:26 PM,F3XN,9,42,0,0,51
962923,10/20 05:24 PM,F3XN,0,2,0,0,2
962922,10/20 05:23 PM,F3XN,6,1,0,0,7
962921,10/20 05:23 PM,F3XN,179,0,0,1,180
962920,10/20 05:23 PM,F3XN,8,4,0,2,14
962919,10/20 05:22 PM,F3XN,41,3,0,0,44
962918,10/20 05:22 PM,F3XN,183,61,0,0,244
962917,10/20 05:22 PM,F3XN,28,2,0,0,30
962916,10/20 05:21 PM,F3XN,89,2,0,0,91
962915,10/20 05:21 PM,F3N,5,7,0,2,14
962914,10/20 05:21 PM,F6N,5,0,0,0,5
962913,10/20 05:20 PM,F3XN,32493,1267,0,45,33805
962912,10/20 05:20 PM,F3XN,486,17,0,1,504
962911,10/20 05:19 PM,F3XN,67,42,0,48,157
962910,10/20 05:19 PM,F6N,6,0,0,0,6
962909,10/20 05:19 PM,F24N,0,0,3,0,3
962908,10/20 05:19 PM,F3XN,0,1,0,0,1
962907,10/20 05:18 PM,F6N,4,0,0,0,4
962906,10/20 05:18 PM,F3XN,0,10,0,0,10
962905,10/20 05:18 PM,F3XN,62,1,0,0,63
962904,10/20 05:18 PM,F6N,1,0,0,0,1
962903,10/20 05:17 PM,F3XA,86,128,0,47,261
962902,10/20 05:17 PM,F3XN,73,33,0,1,107
962901,10/20 05:17 PM,F3XN,0,1,0,0,1
962900,10/20 05:16 PM,F3XN,0,0,0,1,1
962899,10/20 05:16 PM,F3XN,6,7,0,0,13
962898,10/20 05:15 PM,F1A,0,0,0,0,0
962897,10/20 05:14 PM,F6N,2,0,0,0,2
962896,10/20 05:13 PM,F3XN,26,1,0,0,27
962895,10/20 05:13 PM,F3XN,0,0,0,0,0
962894,10/20 05:11 PM,F3XN,107,47,0,1,155
962893,10/20 05:11 PM,F3XN,85,23,11,8,127
962892,10/20 05:11 PM,F3XN,26,25,0,0,51
962891,10/20 05:10 PM,F3XN,0,0,0,0,0
962890,10/20 05:10 PM,F99,0,0,0,0,0
962889,10/20 05:10 PM,F6N,6,0,0,0,6
962888,10/20 05:09 PM,F6N,1,0,0,0,1
962887,10/20 05:08 PM,F3XN,0,19,0,0,19
962886,10/20 05:08 PM,F3XN,45,192,0,84,321
962885,10/20 05:07 PM,F3XN,5,52,0,0,57
962884,10/20 05:07 PM,F3XN,64,23,0,0,87
962883,10/20 05:06 PM,F3XN,47,5,0,0,52
962882,10/20 05:06 PM,F3XN,0,119,0,0,119
962881,10/20 05:04 PM,F3XN,1600,135,0,1,1736
962880,10/20 05:03 PM,F3XN,39,3,11,0,53
962879,10/20 05:03 PM,F3XN,9,29,0,0,38
962878,10/20 05:03 PM,F6N,1,0,0,0,1
962877,10/20 05:02 PM,F24A,0,0,5,1,6
962876,10/20 05:01 PM,F6N,4,0,0,0,4
962875,10/20 05:01 PM,F3XN,11,16,0,0,27
962874,10/20 05:01 PM,F6N,4,0,0,0,4
962873,10/20 05:00 PM,F1A,0,0,0,0,0
962872,10/20 05:00 PM,F3XN,8,19,0,1,28
962871,10/20 05:00 PM,F3XN,0,4,0,0,4
962870,10/20 05:00 PM,F3XN,25,0,0,0,25
962869,10/20 04:59 PM,F3XN,0,1,0,0,1
962868,10/20 04:58 PM,F3XN,2,4,0,0,6
962867,10/20 04:58 PM,F3XN,18,28,0,10,56
962866,10/20 04:57 PM,F3XN,325,356,0,47,728
962865,10/20 04:57 PM,F3XN,0,21,0,0,21
962864,10/20 04:56 PM,F3XN,5,6,0,0,11
962863,10/20 04:56 PM,F3XN,0,1,0,0,1
962862,10/20 04:55 PM,F3XN,6,6,0,0,12
962861,10/20 04:55 PM,F6N,1,0,0,0,1
962860,10/20 04:53 PM,F1A,0,0,0,0,0
962859,10/20 04:53 PM,F3XN,554,71,0,0,625
962858,10/20 04:53 PM,F3XN,0,0,0,0,0
962857,10/20 04:53 PM,F6N,12,0,0,0,12
962856,10/20 04:53 PM,F3XN,1,3,0,0,4
962855,10/20 04:52 PM,F3XN,56,1,0,0,57
962854,10/20 04:52 PM,F3XN,21,7,0,0,28
962853,10/20 04:52 PM,F3XA,89,29,0,0,118
962852,10/20 04:51 PM,F3XN,23,26,0,0,49
962851,10/20 04:51 PM,F3XN,3,4,0,0,7
962850,10/20 04:51 PM,F6N,12,0,0,0,12
